Lat, Long, OperatingClass, ChannelIndex, MaxEirp
32.689347,-97.170931,131,1,36
32.689347,-97.170931,131,5,36
32.689347,-97.170931,131,9,36
32.689347,-97.170931,131,13,36
32.689347,-97.170931,131,17,36
32.689347,-97.170931,131,21,36
32.689347,-97.170931,131,25,36
32.689347,-97.170931,131,29,36
32.689347,-97.170931,131,33,36
32.689347,-97.170931,131,37,36
32.689347,-97.170931,131,41,36
32.689347,-97.170931,131,45,36
32.689347,-97.170931,131,49,36
32.689347,-97.170931,131,53,36
32.689347,-97.170931,131,57,36
32.689347,-97.170931,131,61,36
32.689347,-97.170931,131,65,36
32.689347,-97.170931,131,69,36
32.689347,-97.170931,131,73,36
32.689347,-97.170931,131,77,36
32.689347,-97.170931,131,81,36
32.689347,-97.170931,131,85,36
32.689347,-97.170931,131,89,36
32.689347,-97.170931,131,93,36
32.689347,-97.170931,131,117,36
32.689347,-97.170931,131,121,36
32.689347,-97.170931,131,125,36
32.689347,-97.170931,131,129,36
32.689347,-97.170931,131,133,36
32.689347,-97.170931,131,137,36
32.689347,-97.170931,131,141,36
32.689347,-97.170931,131,145,36
32.689347,-97.170931,131,149,36
32.689347,-97.170931,131,153,36
32.689347,-97.170931,131,157,36
32.689347,-97.170931,131,161,36
32.689347,-97.170931,131,165,36
32.689347,-97.170931,131,169,36
32.689347,-97.170931,131,173,36
32.689347,-97.170931,131,177,36
32.689347,-97.170931,131,181,36
32.689347,-97.170931,132,3,36
32.689347,-97.170931,132,11,36
32.689347,-97.170931,132,19,36
32.689347,-97.170931,132,27,36
32.689347,-97.170931,132,35,36
32.689347,-97.170931,132,43,36
32.689347,-97.170931,132,51,36
32.689347,-97.170931,132,59,36
32.689347,-97.170931,132,67,36
32.689347,-97.170931,132,75,36
32.689347,-97.170931,132,83,36
32.689347,-97.170931,132,91,36
32.689347,-97.170931,132,123,36
32.689347,-97.170931,132,131,36
32.689347,-97.170931,132,139,36
32.689347,-97.170931,132,147,36
32.689347,-97.170931,132,155,36
32.689347,-97.170931,132,163,36
32.689347,-97.170931,132,171,36
32.689347,-97.170931,132,179,36
32.689347,-97.170931,133,7,36
32.689347,-97.170931,133,23,36
32.689347,-97.170931,133,39,36
32.689347,-97.170931,133,55,36
32.689347,-97.170931,133,71,36
32.689347,-97.170931,133,87,36
32.689347,-97.170931,133,135,36
32.689347,-97.170931,133,151,36
32.689347,-97.170931,133,167,36
32.689347,-97.170931,134,15,36
32.689347,-97.170931,134,47,36
32.689347,-97.170931,134,79,36
32.689347,-97.170931,134,143,36
32.689347,-97.170931,136,2,36
32.698311,-97.171063,131,1,36
32.698311,-97.171063,131,5,36
32.698311,-97.171063,131,9,36
32.698311,-97.171063,131,13,36
32.698311,-97.171063,131,17,36
32.698311,-97.171063,131,21,36
32.698311,-97.171063,131,25,36
32.698311,-97.171063,131,29,36
32.698311,-97.171063,131,33,36
32.698311,-97.171063,131,37,36
32.698311,-97.171063,131,41,36
32.698311,-97.171063,131,45,36
32.698311,-97.171063,131,49,36
32.698311,-97.171063,131,53,36
32.698311,-97.171063,131,57,36
32.698311,-97.171063,131,61,36
32.698311,-97.171063,131,65,36
32.698311,-97.171063,131,69,36
32.698311,-97.171063,131,73,36
32.698311,-97.171063,131,77,36
32.698311,-97.171063,131,81,36
32.698311,-97.171063,131,85,36
32.698311,-97.171063,131,89,36
32.698311,-97.171063,131,93,36
32.698311,-97.171063,131,117,36
32.698311,-97.171063,131,121,36
32.698311,-97.171063,131,125,36
32.698311,-97.171063,131,129,36
32.698311,-97.171063,131,133,36
32.698311,-97.171063,131,137,36
32.698311,-97.171063,131,141,36
32.698311,-97.171063,131,145,36
32.698311,-97.171063,131,149,36
32.698311,-97.171063,131,153,36
32.698311,-97.171063,131,157,36
32.698311,-97.171063,131,161,36
32.698311,-97.171063,131,165,36
32.698311,-97.171063,131,169,36
32.698311,-97.171063,131,173,36
32.698311,-97.171063,131,177,36
32.698311,-97.171063,131,181,36
32.698311,-97.171063,132,3,36
32.698311,-97.171063,132,11,36
32.698311,-97.171063,132,19,36
32.698311,-97.171063,132,27,36
32.698311,-97.171063,132,35,36
32.698311,-97.171063,132,43,36
32.698311,-97.171063,132,51,36
32.698311,-97.171063,132,59,36
32.698311,-97.171063,132,67,36
32.698311,-97.171063,132,75,36
32.698311,-97.171063,132,83,36
32.698311,-97.171063,132,91,36
32.698311,-97.171063,132,123,36
32.698311,-97.171063,132,131,36
32.698311,-97.171063,132,139,36
32.698311,-97.171063,132,147,36
32.698311,-97.171063,132,155,36
32.698311,-97.171063,132,163,36
32.698311,-97.171063,132,171,36
32.698311,-97.171063,132,179,36
32.698311,-97.171063,133,7,36
32.698311,-97.171063,133,23,36
32.698311,-97.171063,133,39,36
32.698311,-97.171063,133,55,36
32.698311,-97.171063,133,71,36
32.698311,-97.171063,133,87,36
32.698311,-97.171063,133,135,36
32.698311,-97.171063,133,151,36
32.698311,-97.171063,133,167,36
32.698311,-97.171063,134,15,36
32.698311,-97.171063,134,47,36
32.698311,-97.171063,134,79,36
32.698311,-97.171063,134,143,36
32.698311,-97.171063,136,2,36
32.707275,-97.171195,131,1,36
32.707275,-97.171195,131,5,36
32.707275,-97.171195,131,9,36
32.707275,-97.171195,131,13,36
32.707275,-97.171195,131,17,36
32.707275,-97.171195,131,21,36
32.707275,-97.171195,131,25,36
32.707275,-97.171195,131,29,36
32.707275,-97.171195,131,33,36
32.707275,-97.171195,131,37,36
32.707275,-97.171195,131,41,36
32.707275,-97.171195,131,45,36
32.707275,-97.171195,131,49,36
32.707275,-97.171195,131,53,36
32.707275,-97.171195,131,57,36
32.707275,-97.171195,131,61,36
32.707275,-97.171195,131,65,36
32.707275,-97.171195,131,69,36
32.707275,-97.171195,131,73,36
32.707275,-97.171195,131,77,36
32.707275,-97.171195,131,81,36
32.707275,-97.171195,131,85,36
32.707275,-97.171195,131,89,36
32.707275,-97.171195,131,93,36
32.707275,-97.171195,131,117,36
32.707275,-97.171195,131,121,36
32.707275,-97.171195,131,125,36
32.707275,-97.171195,131,129,36
32.707275,-97.171195,131,133,36
32.707275,-97.171195,131,137,36
32.707275,-97.171195,131,141,36
32.707275,-97.171195,131,145,36
32.707275,-97.171195,131,149,36
32.707275,-97.171195,131,153,36
32.707275,-97.171195,131,157,36
32.707275,-97.171195,131,161,36
32.707275,-97.171195,131,165,36
32.707275,-97.171195,131,169,36
32.707275,-97.171195,131,173,36
32.707275,-97.171195,131,177,36
32.707275,-97.171195,131,181,36
32.707275,-97.171195,132,3,36
32.707275,-97.171195,132,11,36
32.707275,-97.171195,132,19,36
32.707275,-97.171195,132,27,36
32.707275,-97.171195,132,35,36
32.707275,-97.171195,132,43,36
32.707275,-97.171195,132,51,36
32.707275,-97.171195,132,59,36
