,Lat/Long,MaxEirp,Lat,Long,geometry
0,"-96.763365,32.692814",36.0,32.692814,-96.763365,POINT (762829.1986247501 2115135.410556735)
1,"-96.763408,32.697296",36.0,32.697296,-96.763408,POINT (762816.9520432595 2115632.2717781994)
2,"-96.763451,32.701778",36.0,32.701778,-96.763451,POINT (762804.7058666094 2116129.1331248567)
3,"-96.763495,32.70626",36.0,32.70626,-96.763495,POINT (762792.3663561551 2116625.993050134)
4,"-96.763538,32.710742",36.0,32.710742,-96.763538,POINT (762780.1209937666 2117122.854656411)
5,"-96.763581,32.715224",36.0,32.715224,-96.763581,POINT (762767.876036067 2117619.716396997)
6,"-96.763624,32.719707",36.0,32.719707,-96.763624,POINT (762755.6296502999 2118116.689146997)
7,"-96.763667,32.724189",36.0,32.724189,-96.763667,POINT (762743.3855018754 2118613.5511653614)
8,"-96.76371,32.72867",36.0,32.72867,-96.76371,POINT (762731.14359061 2119110.302455041)
9,"-96.763753,32.733152",36.0,32.733152,-96.763753,POINT (762718.9002511716 2119607.1647632797)
10,"-96.763796,32.737634",36.0,32.737634,-96.763796,POINT (762706.6573161716 2120104.027221037)
11,"-96.763839,32.742116",36.0,32.742116,-96.763839,POINT (762694.4147855614 2120600.8898313465)
12,"-96.763883,32.746598",36.0,32.746598,-96.763883,POINT (762682.0789632614 2121097.7510486934)
13,"-96.763926,32.75108",36.0,32.75108,-96.763926,POINT (762669.837246011 2121594.613973357)
14,"-96.763969,32.755562",36.0,32.755562,-96.763969,POINT (762657.5959329989 2122091.477059697)
15,"-96.764012,32.760043",36.0,32.760043,-96.764012,POINT (762645.3568564816 2122588.2294384027)
16,"-96.764055,32.764525",36.0,32.764525,-96.764055,POINT (762633.1163517532 2123085.0928571885)
17,"-96.764098,32.769007",36.0,32.769007,-96.764098,POINT (762620.8762511142 2123581.9564467836)
18,"-96.764142,32.773488",36.0,32.773488,-96.764142,POINT (762608.5447190315 2124078.7077898905)
19,"-96.764185,32.77797",36.0,32.77797,-96.764185,POINT (762596.3054311067 2124575.5717302943)
20,"-96.764228,32.782452",36.0,32.782452,-96.764228,POINT (762584.0665471196 2125072.435850626)
21,"-96.764271,32.786933",36.0,32.786933,-96.764271,POINT (762571.8298990574 2125569.189281345)
22,"-96.764314,32.791415",36.0,32.791415,-96.764314,POINT (762559.5918227537 2126066.053770623)
23,"-96.764357,32.795896",36.0,32.795896,-96.764357,POINT (762547.3559821838 2126562.807576286)
24,"-96.764401,32.800378",36.0,32.800378,-96.764401,POINT (762535.0250740846 2127059.670899519)
25,"-96.764444,32.804859",36.0,32.804859,-96.764444,POINT (762522.7900455381 2127556.425092414)
26,"-96.764487,32.80934",36.0,32.80934,-96.764487,POINT (762510.5554205397 2128053.179483406)
27,"-96.76453,32.813822",36.0,32.813822,-96.76453,POINT (762498.3193672765 2128550.044948382)
28,"-96.764573,32.818303",36.0,32.818303,-96.764573,POINT (762486.0855492714 2129046.799744741)
29,"-96.764617,32.822785",36.0,32.822785,-96.764617,POINT (762473.7566873574 2129543.6640746794)
30,"-96.76466,32.827266",36.0,32.827266,-96.76466,POINT (762461.5236808744 2130040.4192886865)
31,"-96.764703,32.831747",36.0,32.831747,-96.764703,POINT (762449.2910776917 2130537.174716001)
32,"-96.764746,32.836228",36.0,32.836228,-96.764746,POINT (762437.0588777572 2131033.9303596644)
33,"-96.76479,32.840709",36.0,32.840709,-96.76479,POINT (762424.7334843029 2131530.684676611)
34,"-96.764833,32.845191",36.0,32.845191,-96.764833,POINT (762412.5002639958 2132027.5516353883)
35,"-96.764876,32.849672",36.0,32.849672,-96.764876,POINT (762400.2692782824 2132524.307946518)
36,"-96.764919,32.854153",36.0,32.854153,-96.764919,POINT (762388.0386956184 2133021.06448617)
37,"-96.764963,32.858634",32.069472000000005,32.858634,-96.764963,POINT (762375.7149381523 2133517.819711738)
38,"-96.765006,32.863115",32.496990499999995,32.863115,-96.765006,POINT (762363.4851661656 2134014.576717674)
39,"-96.765049,32.867596",34.8384505,32.867596,-96.765049,POINT (762351.2557970783 2134511.3339612577)
40,"-96.765092,32.872077",36.0,32.872077,-96.765092,POINT (762339.0268308414 2135008.09144553)
41,"-96.765136,32.876558",36.0,32.876558,-96.765136,POINT (762326.7047085136 2135504.8476283634)
42,"-96.765179,32.881039",36.0,32.881039,-96.765179,POINT (762314.476552553 2136001.605603266)
43,"-96.765222,32.885519",36.0,32.885519,-96.765222,POINT (762302.2506303412 2136498.2529543485)
44,"-96.765265,32.89",36.0,32.89,-96.765265,POINT (762290.0232796853 2136995.011431886)
45,"-96.765309,32.894481",36.0,32.894481,-96.765309,POINT (762277.702791654 2137491.7686206214)
46,"-96.765352,32.898962",36.0,32.898962,-96.765352,POINT (762265.4762508771 2137988.5276131346)
47,"-96.765395,32.903443",36.0,32.903443,-96.765395,POINT (762253.2501125984 2138485.286867647)
48,"-96.765439,32.907923",36.0,32.907923,-96.765439,POINT (762240.9326818031 2138981.9339689147)
49,"-96.765482,32.912404",36.0,32.912404,-96.765482,POINT (762228.707353058 2139478.6937566116)
50,"-96.765525,32.916885",36.0,32.916885,-96.765525,POINT (762216.4824266641 2139975.4538154397)
51,"-96.765569,32.921365",36.0,32.921365,-96.765569,POINT (762204.1662216539 2140472.1017303267)
52,"-96.765612,32.925846",36.0,32.925846,-96.765612,POINT (762191.9421044926 2140968.862340603)
53,"-96.765655,32.930326",36.0,32.930326,-96.765655,POINT (762179.7202201331 2141465.51235692)
54,"-96.765699,32.934807",36.0,32.934807,-96.765699,POINT (762167.4034098559 2141962.271987048)
55,"-96.765742,32.939287",36.0,32.939287,-96.765742,POINT (762155.1823343397 2142458.922572958)
56,"-96.765785,32.943768",36.0,32.943768,-96.765785,POINT (762142.9598303196 2142955.6843225565)
57,"-96.768728,32.692778",36.0,32.692778,-96.768728,POINT (762326.4680152148 2115123.119566682)
58,"-96.768772,32.69726",36.0,32.69726,-96.768772,POINT (762314.1530487211 2115619.979866673)
59,"-96.768815,32.701742",36.0,32.701742,-96.768815,POINT (762301.9322399762 2116116.8418369903)
60,"-96.768858,32.706224",36.0,32.706224,-96.768858,POINT (762289.71183603 2116613.7039354905)
