,Lat/Long,MaxEirp,Lat,Long,geometry
0,"-96.763365,32.692814",36.0,32.692814,-96.763365,POINT (-96.763365 32.692814)
1,"-96.763408,32.697296",36.0,32.697296,-96.763408,POINT (-96.763408 32.697296)
2,"-96.763451,32.701778",36.0,32.701778,-96.763451,POINT (-96.763451 32.701778)
3,"-96.763495,32.70626",36.0,32.70626,-96.763495,POINT (-96.763495 32.70626)
4,"-96.763538,32.710742",36.0,32.710742,-96.763538,POINT (-96.763538 32.710742)
5,"-96.763581,32.715224",36.0,32.715224,-96.763581,POINT (-96.763581 32.715224)
6,"-96.763624,32.719707",36.0,32.719707,-96.763624,POINT (-96.763624 32.719707)
7,"-96.763667,32.724189",36.0,32.724189,-96.763667,POINT (-96.763667 32.724189)
8,"-96.76371,32.72867",36.0,32.72867,-96.76371,POINT (-96.76371 32.72867)
9,"-96.763753,32.733152",36.0,32.733152,-96.763753,POINT (-96.763753 32.733152)
10,"-96.763796,32.737634",36.0,32.737634,-96.763796,POINT (-96.763796 32.737634)
11,"-96.763839,32.742116",36.0,32.742116,-96.763839,POINT (-96.763839 32.742116)
12,"-96.763883,32.746598",36.0,32.746598,-96.763883,POINT (-96.763883 32.746598)
13,"-96.763926,32.75108",36.0,32.75108,-96.763926,POINT (-96.763926 32.75108)
14,"-96.763969,32.755562",36.0,32.755562,-96.763969,POINT (-96.763969 32.755562)
15,"-96.764012,32.760043",36.0,32.760043,-96.764012,POINT (-96.764012 32.760043)
16,"-96.764055,32.764525",36.0,32.764525,-96.764055,POINT (-96.764055 32.764525)
17,"-96.764098,32.769007",36.0,32.769007,-96.764098,POINT (-96.764098 32.769007)
18,"-96.764142,32.773488",36.0,32.773488,-96.764142,POINT (-96.764142 32.773488)
19,"-96.764185,32.77797",36.0,32.77797,-96.764185,POINT (-96.764185 32.77797)
20,"-96.764228,32.782452",36.0,32.782452,-96.764228,POINT (-96.764228 32.782452)
21,"-96.764271,32.786933",36.0,32.786933,-96.764271,POINT (-96.764271 32.786933)
22,"-96.764314,32.791415",36.0,32.791415,-96.764314,POINT (-96.764314 32.791415)
23,"-96.764357,32.795896",36.0,32.795896,-96.764357,POINT (-96.764357 32.795896)
24,"-96.764401,32.800378",36.0,32.800378,-96.764401,POINT (-96.764401 32.800378)
25,"-96.764444,32.804859",36.0,32.804859,-96.764444,POINT (-96.764444 32.804859)
26,"-96.764487,32.80934",36.0,32.80934,-96.764487,POINT (-96.764487 32.80934)
27,"-96.76453,32.813822",36.0,32.813822,-96.76453,POINT (-96.76453 32.813822)
28,"-96.764573,32.818303",36.0,32.818303,-96.764573,POINT (-96.764573 32.818303)
29,"-96.764617,32.822785",36.0,32.822785,-96.764617,POINT (-96.764617 32.822785)
30,"-96.76466,32.827266",36.0,32.827266,-96.76466,POINT (-96.76466 32.827266)
31,"-96.764703,32.831747",36.0,32.831747,-96.764703,POINT (-96.764703 32.831747)
32,"-96.764746,32.836228",36.0,32.836228,-96.764746,POINT (-96.764746 32.836228)
33,"-96.76479,32.840709",36.0,32.840709,-96.76479,POINT (-96.76479 32.840709)
34,"-96.764833,32.845191",36.0,32.845191,-96.764833,POINT (-96.764833 32.845191)
35,"-96.764876,32.849672",36.0,32.849672,-96.764876,POINT (-96.764876 32.849672)
36,"-96.764919,32.854153",36.0,32.854153,-96.764919,POINT (-96.764919 32.854153)
37,"-96.764963,32.858634",36.0,32.858634,-96.764963,POINT (-96.764963 32.858634)
38,"-96.765006,32.863115",36.0,32.863115,-96.765006,POINT (-96.765006 32.863115)
39,"-96.765049,32.867596",36.0,32.867596,-96.765049,POINT (-96.765049 32.867596)
40,"-96.765092,32.872077",36.0,32.872077,-96.765092,POINT (-96.765092 32.872077)
41,"-96.765136,32.876558",36.0,32.876558,-96.765136,POINT (-96.765136 32.876558)
42,"-96.765179,32.881039",36.0,32.881039,-96.765179,POINT (-96.765179 32.881039)
43,"-96.765222,32.885519",36.0,32.885519,-96.765222,POINT (-96.765222 32.885519)
44,"-96.765265,32.89",36.0,32.89,-96.765265,POINT (-96.765265 32.89)
45,"-96.765309,32.894481",36.0,32.894481,-96.765309,POINT (-96.765309 32.894481)
46,"-96.765352,32.898962",36.0,32.898962,-96.765352,POINT (-96.765352 32.898962)
47,"-96.765395,32.903443",36.0,32.903443,-96.765395,POINT (-96.765395 32.903443)
48,"-96.765439,32.907923",36.0,32.907923,-96.765439,POINT (-96.765439 32.907923)
49,"-96.765482,32.912404",36.0,32.912404,-96.765482,POINT (-96.765482 32.912404)
50,"-96.765525,32.916885",36.0,32.916885,-96.765525,POINT (-96.765525 32.916885)
51,"-96.765569,32.921365",36.0,32.921365,-96.765569,POINT (-96.765569 32.921365)
52,"-96.765612,32.925846",36.0,32.925846,-96.765612,POINT (-96.765612 32.925846)
53,"-96.765655,32.930326",36.0,32.930326,-96.765655,POINT (-96.765655 32.930326)
54,"-96.765699,32.934807",36.0,32.934807,-96.765699,POINT (-96.765699 32.934807)
55,"-96.765742,32.939287",36.0,32.939287,-96.765742,POINT (-96.765742 32.939287)
56,"-96.765785,32.943768",36.0,32.943768,-96.765785,POINT (-96.765785 32.943768)
57,"-96.768728,32.692778",36.0,32.692778,-96.768728,POINT (-96.768728 32.692778)
58,"-96.768772,32.69726",36.0,32.69726,-96.768772,POINT (-96.768772 32.69726)
59,"-96.768815,32.701742",36.0,32.701742,-96.768815,POINT (-96.768815 32.701742)
60,"-96.768858,32.706224",36.0,32.706224,-96.768858,POINT (-96.768858 32.706224)
61,"-96.768902,32.710706",36.0,32.710706,-96.768902,POINT (-96.768902 32.710706)
62,"-96.768945,32.715188",36.0,32.715188,-96.768945,POINT (-96.768945 32.715188)
63,"-96.768989,32.71967",36.0,32.71967,-96.768989,POINT (-96.768989 32.71967)
64,"-96.769032,32.724152",36.0,32.724152,-96.769032,POINT (-96.769032 32.724152)
65,"-96.769075,32.728634",36.0,32.728634,-96.769075,POINT (-96.769075 32.728634)
66,"-96.769119,32.733116",36.0,32.733116,-96.769119,POINT (-96.769119 32.733116)
67,"-96.769162,32.737598",36.0,32.737598,-96.769162,POINT (-96.769162 32.737598)
68,"-96.769206,32.74208",36.0,32.74208,-96.769206,POINT (-96.769206 32.74208)
69,"-96.769249,32.746562",34.786187,32.746562,-96.769249,POINT (-96.769249 32.746562)
70,"-96.769293,32.751044",36.0,32.751044,-96.769293,POINT (-96.769293 32.751044)
71,"-96.769336,32.755525",36.0,32.755525,-96.769336,POINT (-96.769336 32.755525)
72,"-96.769379,32.760007",36.0,32.760007,-96.769379,POINT (-96.769379 32.760007)
73,"-96.769423,32.764489",36.0,32.764489,-96.769423,POINT (-96.769423 32.764489)
74,"-96.769466,32.768971",36.0,32.768971,-96.769466,POINT (-96.769466 32.768971)
75,"-96.76951,32.773452",36.0,32.773452,-96.76951,POINT (-96.76951 32.773452)
76,"-96.769553,32.777934",15.300757,32.777934,-96.769553,POINT (-96.769553 32.777934)
77,"-96.769597,32.782415",36.0,32.782415,-96.769597,POINT (-96.769597 32.782415)
78,"-96.76964,32.786897",36.0,32.786897,-96.76964,POINT (-96.76964 32.786897)
79,"-96.769684,32.791379",36.0,32.791379,-96.769684,POINT (-96.769684 32.791379)
80,"-96.769727,32.79586",36.0,32.79586,-96.769727,POINT (-96.769727 32.79586)
81,"-96.769771,32.800341",36.0,32.800341,-96.769771,POINT (-96.769771 32.800341)
82,"-96.769814,32.804823",36.0,32.804823,-96.769814,POINT (-96.769814 32.804823)
83,"-96.769858,32.809304",36.0,32.809304,-96.769858,POINT (-96.769858 32.809304)
84,"-96.769901,32.813786",36.0,32.813786,-96.769901,POINT (-96.769901 32.813786)
85,"-96.769945,32.818267",36.0,32.818267,-96.769945,POINT (-96.769945 32.818267)
86,"-96.769988,32.822748",36.0,32.822748,-96.769988,POINT (-96.769988 32.822748)
87,"-96.770032,32.82723",36.0,32.82723,-96.770032,POINT (-96.770032 32.82723)
88,"-96.770075,32.831711",36.0,32.831711,-96.770075,POINT (-96.770075 32.831711)
89,"-96.770119,32.836192",36.0,32.836192,-96.770119,POINT (-96.770119 32.836192)
90,"-96.770162,32.840673",36.0,32.840673,-96.770162,POINT (-96.770162 32.840673)
91,"-96.770206,32.845154",36.0,32.845154,-96.770206,POINT (-96.770206 32.845154)
92,"-96.77025,32.849635",36.0,32.849635,-96.77025,POINT (-96.77025 32.849635)
93,"-96.770293,32.854117",36.0,32.854117,-96.770293,POINT (-96.770293 32.854117)
94,"-96.770337,32.858598",36.0,32.858598,-96.770337,POINT (-96.770337 32.858598)
95,"-96.77038,32.863079",36.0,32.863079,-96.77038,POINT (-96.77038 32.863079)
96,"-96.770424,32.86756",36.0,32.86756,-96.770424,POINT (-96.770424 32.86756)
97,"-96.770467,32.872041",36.0,32.872041,-96.770467,POINT (-96.770467 32.872041)
98,"-96.770511,32.876521",36.0,32.876521,-96.770511,POINT (-96.770511 32.876521)
99,"-96.770555,32.881002",36.0,32.881002,-96.770555,POINT (-96.770555 32.881002)
100,"-96.770598,32.885483",36.0,32.885483,-96.770598,POINT (-96.770598 32.885483)
101,"-96.770642,32.889964",36.0,32.889964,-96.770642,POINT (-96.770642 32.889964)
102,"-96.770685,32.894445",36.0,32.894445,-96.770685,POINT (-96.770685 32.894445)
103,"-96.770729,32.898926",36.0,32.898926,-96.770729,POINT (-96.770729 32.898926)
104,"-96.770773,32.903406",36.0,32.903406,-96.770773,POINT (-96.770773 32.903406)
105,"-96.770816,32.907887",36.0,32.907887,-96.770816,POINT (-96.770816 32.907887)
106,"-96.77086,32.912368",36.0,32.912368,-96.77086,POINT (-96.77086 32.912368)
107,"-96.770903,32.916848",36.0,32.916848,-96.770903,POINT (-96.770903 32.916848)
108,"-96.770947,32.921329",36.0,32.921329,-96.770947,POINT (-96.770947 32.921329)
109,"-96.770991,32.92581",36.0,32.92581,-96.770991,POINT (-96.770991 32.92581)
110,"-96.771034,32.93029",36.0,32.93029,-96.771034,POINT (-96.771034 32.93029)
111,"-96.771078,32.934771",36.0,32.934771,-96.771078,POINT (-96.771078 32.934771)
112,"-96.771122,32.939251",36.0,32.939251,-96.771122,POINT (-96.771122 32.939251)
113,"-96.771165,32.943732",36.0,32.943732,-96.771165,POINT (-96.771165 32.943732)
114,"-96.774091,32.692741",36.0,32.692741,-96.774091,POINT (-96.774091 32.692741)
115,"-96.774135,32.697224",36.0,32.697224,-96.774135,POINT (-96.774135 32.697224)
116,"-96.774179,32.701706",36.0,32.701706,-96.774179,POINT (-96.774179 32.701706)
117,"-96.774222,32.706188",36.0,32.706188,-96.774222,POINT (-96.774222 32.706188)
118,"-96.774266,32.71067",36.0,32.71067,-96.774266,POINT (-96.774266 32.71067)
119,"-96.77431,32.715152",36.0,32.715152,-96.77431,POINT (-96.77431 32.715152)
120,"-96.774353,32.719634",36.0,32.719634,-96.774353,POINT (-96.774353 32.719634)
121,"-96.774397,32.724116",36.0,32.724116,-96.774397,POINT (-96.774397 32.724116)
122,"-96.774441,32.728598",36.0,32.728598,-96.774441,POINT (-96.774441 32.728598)
123,"-96.774484,32.73308",36.0,32.73308,-96.774484,POINT (-96.774484 32.73308)
124,"-96.774528,32.737562",36.0,32.737562,-96.774528,POINT (-96.774528 32.737562)
125,"-96.774572,32.742044",36.0,32.742044,-96.774572,POINT (-96.774572 32.742044)
126,"-96.774616,32.746525",36.0,32.746525,-96.774616,POINT (-96.774616 32.746525)
127,"-96.774659,32.751007",36.0,32.751007,-96.774659,POINT (-96.774659 32.751007)
128,"-96.774703,32.755489",36.0,32.755489,-96.774703,POINT (-96.774703 32.755489)
129,"-96.774747,32.759971",36.0,32.759971,-96.774747,POINT (-96.774747 32.759971)
130,"-96.774791,32.764453",36.0,32.764453,-96.774791,POINT (-96.774791 32.764453)
131,"-96.774834,32.768934",36.0,32.768934,-96.774834,POINT (-96.774834 32.768934)
132,"-96.774878,32.773416",36.0,32.773416,-96.774878,POINT (-96.774878 32.773416)
133,"-96.774922,32.777897",36.0,32.777897,-96.774922,POINT (-96.774922 32.777897)
134,"-96.774966,32.782379",21.995433,32.782379,-96.774966,POINT (-96.774966 32.782379)
135,"-96.77501,32.786861",36.0,32.786861,-96.77501,POINT (-96.77501 32.786861)
136,"-96.775053,32.791342",36.0,32.791342,-96.775053,POINT (-96.775053 32.791342)
137,"-96.775097,32.795824",36.0,32.795824,-96.775097,POINT (-96.775097 32.795824)
138,"-96.775141,32.800305",36.0,32.800305,-96.775141,POINT (-96.775141 32.800305)
139,"-96.775185,32.804786",36.0,32.804786,-96.775185,POINT (-96.775185 32.804786)
140,"-96.775229,32.809268",36.0,32.809268,-96.775229,POINT (-96.775229 32.809268)
141,"-96.775272,32.813749",36.0,32.813749,-96.775272,POINT (-96.775272 32.813749)
142,"-96.775316,32.818231",36.0,32.818231,-96.775316,POINT (-96.775316 32.818231)
143,"-96.77536,32.822712",36.0,32.822712,-96.77536,POINT (-96.77536 32.822712)
144,"-96.775404,32.827193",36.0,32.827193,-96.775404,POINT (-96.775404 32.827193)
145,"-96.775448,32.831674",36.0,32.831674,-96.775448,POINT (-96.775448 32.831674)
146,"-96.775492,32.836156",36.0,32.836156,-96.775492,POINT (-96.775492 32.836156)
147,"-96.775535,32.840637",36.0,32.840637,-96.775535,POINT (-96.775535 32.840637)
148,"-96.775579,32.845118",36.0,32.845118,-96.775579,POINT (-96.775579 32.845118)
149,"-96.775623,32.849599",36.0,32.849599,-96.775623,POINT (-96.775623 32.849599)
150,"-96.775667,32.85408",36.0,32.85408,-96.775667,POINT (-96.775667 32.85408)
151,"-96.775711,32.858561",36.0,32.858561,-96.775711,POINT (-96.775711 32.858561)
152,"-96.775755,32.863042",36.0,32.863042,-96.775755,POINT (-96.775755 32.863042)
153,"-96.775799,32.867523",36.0,32.867523,-96.775799,POINT (-96.775799 32.867523)
154,"-96.775842,32.872004",36.0,32.872004,-96.775842,POINT (-96.775842 32.872004)
155,"-96.775886,32.876485",36.0,32.876485,-96.775886,POINT (-96.775886 32.876485)
156,"-96.77593,32.880966",36.0,32.880966,-96.77593,POINT (-96.77593 32.880966)
157,"-96.775974,32.885447",36.0,32.885447,-96.775974,POINT (-96.775974 32.885447)
158,"-96.776018,32.889928",36.0,32.889928,-96.776018,POINT (-96.776018 32.889928)
159,"-96.776062,32.894408",36.0,32.894408,-96.776062,POINT (-96.776062 32.894408)
160,"-96.776106,32.898889",36.0,32.898889,-96.776106,POINT (-96.776106 32.898889)
161,"-96.77615,32.90337",36.0,32.90337,-96.77615,POINT (-96.77615 32.90337)
162,"-96.776194,32.907851",36.0,32.907851,-96.776194,POINT (-96.776194 32.907851)
163,"-96.776238,32.912331",36.0,32.912331,-96.776238,POINT (-96.776238 32.912331)
164,"-96.776282,32.916812",36.0,32.916812,-96.776282,POINT (-96.776282 32.916812)
165,"-96.776325,32.921293",36.0,32.921293,-96.776325,POINT (-96.776325 32.921293)
166,"-96.776369,32.925773",36.0,32.925773,-96.776369,POINT (-96.776369 32.925773)
167,"-96.776413,32.930254",36.0,32.930254,-96.776413,POINT (-96.776413 32.930254)
168,"-96.776457,32.934734",36.0,32.934734,-96.776457,POINT (-96.776457 32.934734)
169,"-96.776501,32.939215",36.0,32.939215,-96.776501,POINT (-96.776501 32.939215)
170,"-96.776545,32.943695",36.0,32.943695,-96.776545,POINT (-96.776545 32.943695)
171,"-96.779454,32.692705",36.0,32.692705,-96.779454,POINT (-96.779454 32.692705)
172,"-96.779498,32.697187",36.0,32.697187,-96.779498,POINT (-96.779498 32.697187)
173,"-96.779542,32.701669",36.0,32.701669,-96.779542,POINT (-96.779542 32.701669)
174,"-96.779586,32.706151",36.0,32.706151,-96.779586,POINT (-96.779586 32.706151)
175,"-96.77963,32.710633",36.0,32.710633,-96.77963,POINT (-96.77963 32.710633)
176,"-96.779674,32.715115",36.0,32.715115,-96.779674,POINT (-96.779674 32.715115)
177,"-96.779718,32.719597",36.0,32.719597,-96.779718,POINT (-96.779718 32.719597)
178,"-96.779762,32.724079",36.0,32.724079,-96.779762,POINT (-96.779762 32.724079)
179,"-96.779806,32.728561",36.0,32.728561,-96.779806,POINT (-96.779806 32.728561)
180,"-96.77985,32.733043",36.0,32.733043,-96.77985,POINT (-96.77985 32.733043)
181,"-96.779894,32.737525",36.0,32.737525,-96.779894,POINT (-96.779894 32.737525)
182,"-96.779938,32.742007",36.0,32.742007,-96.779938,POINT (-96.779938 32.742007)
183,"-96.779982,32.746489",35.78229,32.746489,-96.779982,POINT (-96.779982 32.746489)
184,"-96.780026,32.750971",34.013489,32.750971,-96.780026,POINT (-96.780026 32.750971)
185,"-96.78007,32.755452",36.0,32.755452,-96.78007,POINT (-96.78007 32.755452)
186,"-96.780114,32.759934",36.0,32.759934,-96.780114,POINT (-96.780114 32.759934)
187,"-96.780158,32.764416",36.0,32.764416,-96.780158,POINT (-96.780158 32.764416)
188,"-96.780203,32.768898",36.0,32.768898,-96.780203,POINT (-96.780203 32.768898)
189,"-96.780247,32.773379",36.0,32.773379,-96.780247,POINT (-96.780247 32.773379)
190,"-96.780291,32.777861",36.0,32.777861,-96.780291,POINT (-96.780291 32.777861)
191,"-96.780335,32.782342",36.0,32.782342,-96.780335,POINT (-96.780335 32.782342)
192,"-96.780379,32.786824",36.0,32.786824,-96.780379,POINT (-96.780379 32.786824)
193,"-96.780423,32.791305",36.0,32.791305,-96.780423,POINT (-96.780423 32.791305)
194,"-96.780467,32.795787",36.0,32.795787,-96.780467,POINT (-96.780467 32.795787)
195,"-96.780511,32.800268",36.0,32.800268,-96.780511,POINT (-96.780511 32.800268)
196,"-96.780555,32.80475",36.0,32.80475,-96.780555,POINT (-96.780555 32.80475)
197,"-96.780599,32.809231",36.0,32.809231,-96.780599,POINT (-96.780599 32.809231)
198,"-96.780644,32.813713",36.0,32.813713,-96.780644,POINT (-96.780644 32.813713)
199,"-96.780688,32.818194",36.0,32.818194,-96.780688,POINT (-96.780688 32.818194)
200,"-96.780732,32.822675",36.0,32.822675,-96.780732,POINT (-96.780732 32.822675)
201,"-96.780776,32.827156",36.0,32.827156,-96.780776,POINT (-96.780776 32.827156)
202,"-96.78082,32.831638",36.0,32.831638,-96.78082,POINT (-96.78082 32.831638)
203,"-96.780864,32.836119",36.0,32.836119,-96.780864,POINT (-96.780864 32.836119)
204,"-96.780908,32.8406",36.0,32.8406,-96.780908,POINT (-96.780908 32.8406)
205,"-96.780952,32.845081",36.0,32.845081,-96.780952,POINT (-96.780952 32.845081)
206,"-96.780997,32.849562",36.0,32.849562,-96.780997,POINT (-96.780997 32.849562)
